                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0918,                 1.6497,                0.88761,                0.48363,                0.34783,                0.33064,                0.24498,                 0.8362,                 1.0991,                0.84521,               0.070769,              0.0032479,              0.0032479
                      1,                 1.1797,                 1.1597,                0.87726,                0.72091,                0.50416,                0.50799,                0.32136,                 1.1852,                    1.4,                0.87877,               0.040715,              0.0065269,              0.0065269
                      2,                 1.5242,                 1.3588,                0.95554,                0.73663,                0.51363,                0.59629,                 0.3637,                 1.0095,                 1.4159,                0.87015,               0.010606,              0.0097509,              0.0097509
                      3,                 1.4404,                 1.1913,                 0.9293,                0.60433,                0.56973,                 0.6545,                 0.3485,                 1.2925,                0.84141,                0.90802,              0.0097525,              0.0097525,              0.0097525
                      4,                 1.3405,                0.92841,                0.91967,                0.80858,                0.73343,                0.76443,                0.42624,                  1.146,                 1.0814,                0.89044,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.3242,                 0.7839,                0.92589,                0.87596,                0.71135,                0.80027,                0.47726,                 1.0145,                0.68676,                0.88152,                0.00967,                0.00967,                0.00967
                      6,                  1.238,                0.72383,                0.91357,                0.81282,                0.73662,                0.78811,                0.49105,                0.99668,                0.58474,                0.87684,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.2058,                0.67174,                0.90244,                0.77967,                0.74315,                0.78747,                0.48653,                0.94551,                0.59103,                0.88848,               0.009505,               0.009505,               0.009505
                      8,                 1.1721,                0.62312,                0.89339,                0.91167,                0.73584,                0.81814,                 0.5153,                0.96979,                0.56274,                0.87296,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.1034,                0.59492,                0.88526,                0.90269,                0.69365,                0.78379,                0.51251,                0.88681,                0.53222,                0.86213,                0.00934,                0.00934,                0.00934
                     10,                 1.0639,                0.57007,                0.88114,                0.83063,                 0.7754,                0.81801,                 0.5404,                0.95767,                0.56159,                 0.8658,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.0266,                0.55928,                 0.8736,                0.91999,                0.73914,                0.81435,                0.54526,                0.92287,                0.51873,                0.86716,               0.009175,               0.009175,               0.009175
                     12,                 1.0143,                0.53427,                0.86626,                0.84395,                0.71859,                 0.7916,                0.53114,                0.98452,                0.53906,                0.86973,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.0094,                0.52093,                0.85762,                0.84779,                0.67372,                0.76698,                0.51887,                0.95672,                0.51118,                0.86483,                0.00901,                0.00901,                0.00901
                     14,                 1.0047,                0.51455,                0.86018,                0.91392,                0.72483,                0.80934,                0.55442,                 0.8626,                0.48252,                0.85841,              0.0089275,              0.0089275,              0.0089275
                     15,                0.99161,                0.50438,                0.85689,                 0.9518,                0.73496,                0.81037,                0.55282,                0.85678,                0.49432,                0.84195,               0.008845,               0.008845,               0.008845
                     16,                 0.9405,                0.49801,                0.85523,                0.88988,                 0.7744,                0.82459,                0.57556,                0.83291,                0.46153,                0.84444,              0.0087625,              0.0087625,              0.0087625
                     17,                0.93937,                0.48734,                0.85169,                0.91853,                0.76463,                0.81936,                0.58812,                  0.798,                0.45193,                0.84218,                0.00868,                0.00868,                0.00868
